StudentID,Skills,Qualification,PreferredLocation,NativeLocation,SocialCategory
1,"AI/ML, Cloud Computing, Blockchain, Data Analysis, C++",M.Sc,Hyderabad,Delhi,BC
2,"AI/ML, Java, Python",Diploma,Kolkata,Chennai,OC
3,"AI/ML, Python",B.Tech,Hyderabad,Kolkata,ST
4,"Java, DevOps, SQL, Cloud Computing",B.Sc,Hyderabad,Pune,SC
5,"Spring Boot, UI/UX Design, Cloud Computing, Django, DevOps",M.Tech,Hyderabad,Chennai,ST
6,"SQL, Embedded Systems",B.Tech,Chennai,Hyderabad,BC
7,"DevOps, AI/ML, Java, SQL",Diploma,Kolkata,Delhi,BC
8,"AI/ML, Java, Python",B.Sc,Bangalore,Rural-Delhi,SC
9,"UI/UX Design, Python, DevOps",M.Sc,Kolkata,Pune,BC
10,"Machine Learning, Embedded Systems, Blockchain",B.Tech,Delhi,Rural-Bangalore,SC
11,"Cybersecurity, Blockchain",B.Sc,Delhi,Kolkata,SC
12,"SQL, Python",M.Tech,Bangalore,Mumbai,OC
13,"Cloud Computing, Embedded Systems, SQL",Diploma,Hyderabad,Bangalore,BC
14,"Embedded Systems, DevOps, SQL, Machine Learning",Diploma,Pune,Chennai,EWS
15,"DevOps, Data Analysis, Machine Learning",MBA,Kolkata,Kolkata,ST
16,"Machine Learning, Blockchain, Embedded Systems, Cybersecurity, DevOps",B.Tech,Pune,Rural-Hyderabad,ST
17,"AI/ML, Java, C++, SQL, Django",B.Sc,Hyderabad,Rural-Hyderabad,EWS
18,"React, Embedded Systems, Cybersecurity",Diploma,Chennai,Pune,EWS
19,"C++, AI/ML, Machine Learning, React, Django",Diploma,Pune,Pune,OBC
20,"Spring Boot, Machine Learning, Cybersecurity",Diploma,Chennai,Bangalore,OC
21,"Blockchain, C++, Python, Java",B.Sc,Hyderabad,Rural-Bangalore,BC
22,"DevOps, Data Analysis",Diploma,Chennai,Bangalore,OC
23,"Machine Learning, Embedded Systems, Cloud Computing, Django",Diploma,Mumbai,Pune,SC
24,"Blockchain, AI/ML, Cloud Computing, C++, Machine Learning",M.Tech,Bangalore,Rural-Delhi,OBC
25,"UI/UX Design, Embedded Systems, DevOps, Cloud Computing",M.Sc,Kolkata,Kolkata,OC
26,"Cloud Computing, Python, C++, UI/UX Design",M.Sc,Hyderabad,Delhi,OC
27,"Java, Spring Boot, Machine Learning, Blockchain",MBA,Chennai,Pune,ST
28,"AI/ML, Django, SQL, Embedded Systems",M.Tech,Pune,Kolkata,OBC
29,"Django, UI/UX Design",B.Sc,Hyderabad,Chennai,SC
30,"Data Analysis, DevOps, Blockchain",B.Tech,Pune,Mumbai,ST
31,"AI/ML, Data Analysis, Spring Boot, Django",M.Sc,Mumbai,Rural-Hyderabad,ST
