InternshipID,Company,Role,Sector,WorkLocation,RequiredSkills,QualificationRequired,OtherRequirements,Capacity
1,Company_1,AI Research Intern,Telecom,Pune,"UI/UX Design, DevOps, Java, Cloud Computing, Machine Learning",M.Sc,Good communication skills,5
2,Company_2,Data Analyst Intern,Telecom,Chennai,"Java, Cloud Computing, Embedded Systems, Machine Learning",Diploma,Leadership potential,8
3,Company_3,Cloud Engineer Intern,Healthcare,Hyderabad,"Machine Learning, Python, AI/ML, SQL",M.Tech,Problem-solving mindset,4
4,Company_4,Data Analyst Intern,Education,Kolkata,"Data Analysis, Blockchain, Python",M.Tech,Analytical thinking,3
5,Company_5,QA Tester Intern,Healthcare,Hyderabad,"Blockchain, C++, UI/UX Design, DevOps",MBA,Adaptability,8
6,Company_6,UI/UX Intern,Telecom,Pune,"Java, React, Data Analysis, AI/ML",Diploma,Team player,10
7,Company_7,Business Analyst Intern,Education,Mumbai,"UI/UX Design, Cybersecurity",M.Tech,Adaptability,3
8,Company_8,AI Research Intern,Finance,Chennai,"Embedded Systems, Spring Boot, UI/UX Design, Django",M.Tech,Team player,9
9,Company_9,Data Analyst Intern,Finance,Bangalore,"Machine Learning, React, Embedded Systems, AI/ML",B.Sc,Analytical thinking,3
10,Company_10,Data Analyst Intern,Manufacturing,Hyderabad,"Embedded Systems, Machine Learning, DevOps, Django, C++",B.Tech,Adaptability,6
11,Company_11,Software Engineer Intern,Automotive,Mumbai,"Java, C++, Machine Learning",M.Tech,Team player,3
12,Company_12,Cloud Engineer Intern,Education,Delhi,"DevOps, React, Data Analysis, C++, Spring Boot",B.Sc,Leadership potential,2
13,Company_13,AI Research Intern,Education,Hyderabad,"AI/ML, Django",M.Sc,Leadership potential,5
14,Company_14,AI Research Intern,Finance,Mumbai,"Embedded Systems, Java, Data Analysis, Django, Spring Boot",M.Sc,Team player,8
15,Company_15,Software Engineer Intern,Software,Delhi,"C++, Cloud Computing",Diploma,Good communication skills,7
16,Company_16,Software Engineer Intern,Automotive,Pune,"React, Java, Spring Boot",B.Tech,Analytical thinking,8
17,Company_17,UI/UX Intern,Software,Pune,"Cybersecurity, Blockchain, Django, Embedded Systems, Java",MBA,Good communication skills,2
18,Company_18,Business Analyst Intern,Manufacturing,Mumbai,"Cloud Computing, Django",Diploma,Adaptability,3
19,Company_19,Data Analyst Intern,Manufacturing,Kolkata,"AI/ML, C++",B.Tech,Problem-solving mindset,10
20,Company_20,Cloud Engineer Intern,Automotive,Kolkata,"C++, Machine Learning",M.Tech,Team player,3
21,Company_21,QA Tester Intern,Finance,Bangalore,"AI/ML, Blockchain, DevOps, Cloud Computing",B.Tech,Adaptability,8
22,Company_22,AI Research Intern,Manufacturing,Pune,"Cybersecurity, UI/UX Design, DevOps",M.Tech,Good communication skills,5
23,Company_23,Cloud Engineer Intern,Education,Kolkata,"Spring Boot, C++, DevOps, Embedded Systems, UI/UX Design",M.Sc,Leadership potential,7
24,Company_24,Business Analyst Intern,Manufacturing,Pune,"C++, Data Analysis, Cybersecurity",B.Sc,Adaptability,4
25,Company_25,AI Research Intern,Automotive,Bangalore,"SQL, React, Cybersecurity",M.Tech,Adaptability,10
26,Company_26,UI/UX Intern,Automotive,Delhi,"Django, Cybersecurity, Java, Blockchain",Diploma,Analytical thinking,1
27,Company_27,Cloud Engineer Intern,Manufacturing,Hyderabad,"DevOps, Data Analysis, SQL",MBA,Problem-solving mindset,1
28,Company_28,QA Tester Intern,Education,Kolkata,"AI/ML, DevOps, Python",B.Sc,Analytical thinking,10
29,Company_29,AI Research Intern,Education,Delhi,"Django, Embedded Systems",M.Sc,Team player,5
30,Company_30,Software Engineer Intern,Finance,Bangalore,"AI/ML, Cybersecurity, Embedded Systems",B.Sc,Problem-solving mindset,4
31,Company_31,AI Research Intern,Healthcare,Kolkata,"AI/ML, React, Java",MBA,Team player,8
32,Company_32,Business Analyst Intern,Telecom,Bangalore,"Spring Boot, Blockchain, React, Embedded Systems",B.Sc,Adaptability,4
33,Company_33,QA Tester Intern,Automotive,Chennai,"Spring Boot, AI/ML, Python",B.Sc,Good communication skills,9
34,Company_34,Business Analyst Intern,Telecom,Pune,"Java, Machine Learning",Diploma,Good communication skills,6
35,Company_35,Business Analyst Intern,Finance,Pune,"Machine Learning, Java, Cloud Computing, AI/ML",M.Sc,Problem-solving mindset,8
36,Company_36,Business Analyst Intern,Automotive,Hyderabad,"DevOps, C++, Embedded Systems, Cybersecurity, React",M.Sc,Problem-solving mindset,9
37,Company_37,Software Engineer Intern,Software,Hyderabad,"SQL, Django, Embedded Systems, AI/ML",B.Tech,Team player,9
